,0
0,31.17896
1,24.015938
2,24.467041
3,34.62333
4,37.930508
5,56.899567
6,43.380035
7,24.467041
8,32.53771
9,36.885597
10,25.466816
11,24.467041
12,26.859715
13,43.09524
14,32.56996
15,25.466816
16,41.00008
17,29.900082
18,28.112139
19,39.618366
20,26.474882
21,27.804808
22,42.591587
23,33.17245
24,21.554422
25,24.015938
26,46.130386
27,25.466816
28,36.134647
29,40.58326
30,25.466816
31,43.365234
32,56.412945
33,29.2612
34,24.467041
35,26.859715
36,24.015938
37,25.466816
38,26.859715
39,37.379444
40,39.062572
41,25.466816
42,24.467041
43,26.596985
44,24.467041
45,24.015938
46,33.17245
47,24.015938
48,54.51933
49,36.809315
50,24.109913
51,32.876488
52,37.375183
53,29.900082
54,20.691
55,39.618366
56,30.912964
57,24.467041
58,22.659033
59,27.928318
60,20.691
61,21.554422
62,25.466816
63,32.363274
64,36.22479
65,35.49482
66,31.722713
67,27.353703
68,33.17245
69,33.623554
70,44.318733
71,24.015938
72,30.110237
73,33.788807
74,24.467041
75,25.466816
76,40.24945
77,44.493
78,24.015938
79,39.015537
80,36.926655
81,32.173817
82,24.015938
83,36.885597
84,25.466816
85,38.930256
86,29.900082
87,33.36305
88,36.59678
89,38.998627
90,29.801056
91,24.467041
92,27.399132
93,25.466816
94,38.258526
95,42.49599
96,37.946785
97,33.17245
98,32.246166
99,24.015938
100,31.325712
101,36.94701
102,52.973816
103,49.50649
104,56.44846
105,47.666412
106,23.110138
107,33.119713
108,37.13146
109,29.900082
110,25.466816
111,49.62672
112,42.380047
113,22.659033
114,25.466816
115,22.659033
116,23.08367
117,34.62333
118,37.956337
119,35.000435
120,37.379444
121,24.467041
122,44.012707
123,31.722713
124,33.62954
125,25.466816
126,45.76961
127,36.14567
128,34.62333
129,44.769836
130,24.015938
131,24.015938
132,33.17245
133,24.015938
134,25.466816
135,37.946785
136,33.64374
137,20.290483
138,24.015938
139,35.172127
140,22.275372
141,26.859715
142,33.64374
143,36.956566
144,33.044792
145,32.491695
146,19.12279
147,25.466816
148,24.015938
149,24.467041
150,40.967075
151,24.015938
152,33.17245
153,42.61758
154,24.467041
155,24.015938
156,46.370438
157,24.467041
158,20.691
159,23.726252
160,24.015938
161,24.467041
162,24.467041
163,33.17359
164,33.60899
165,29.900082
166,35.13503
167,33.17359
168,21.057234
169,27.177649
170,24.015938
171,24.467041
172,33.62356
173,38.379215
174,37.59655
175,18.423903
176,34.287163
177,20.032085
178,24.015938
179,38.421352
180,31.722713
181,44.318733
182,36.487514
183,33.623554
184,36.970474
185,24.467041
186,47.595444
187,24.015938
188,25.466816
189,24.015938
190,22.659033
191,31.896166
192,24.716127
193,31.431879
194,25.466816
195,24.109913
196,55.643013
197,24.467041
198,47.089676
199,24.015938
200,35.38886
201,27.177649
202,28.159513
203,24.015938
204,24.110481
205,29.900082
206,38.998627
207,25.107914
208,22.659033
209,32.847313
210,25.50281
211,36.926655
212,24.015938
213,31.91217
214,23.110138
215,33.623554
216,41.16846
217,24.467041
218,20.032085
219,24.467041
220,24.015938
221,25.466816
222,24.061365
223,24.015938
224,28.804583
225,44.190044
226,32.55029
227,36.14567
228,33.17245
229,25.466816
230,43.619743
231,25.466816
232,38.869007
233,30.6067
234,24.015938
235,31.606476
236,24.015938
237,36.346004
238,29.900082
239,20.032085
240,35.738564
241,36.487514
242,33.208477
243,24.467041
244,32.699318
245,40.58326
246,27.177649
247,30.19835
248,21.675993
249,20.290483
250,20.032085
251,30.461857
252,26.596985
253,34.62333
254,31.837587
255,40.872707
256,24.467041
257,23.110138
258,43.0953
259,28.159513
260,54.608784
261,53.119926
262,27.748386
263,36.017128
264,24.467041
265,24.467041
266,26.859715
267,36.14567
268,33.17245
269,24.015938
270,24.015938
271,25.466816
272,37.13146
273,24.467041
274,25.466816
275,20.604895
276,25.466816
277,25.466816
278,24.015938
279,27.353703
280,20.032085
281,20.691
282,27.804808
283,28.297516
284,25.466816
285,24.015938
286,25.466816
287,36.50546
288,46.917667
289,33.17245
290,23.0053
291,30.912964
292,25.466816
293,36.926655
294,34.154186
295,24.015938
296,27.430819
297,20.290483
298,25.466816
299,20.290483
300,31.912739
301,34.154186
302,27.177649
303,30.110607
304,26.859715
305,25.466816
306,24.015938
307,46.895164
308,55.241104
309,24.467041
310,34.62333
311,25.466816
312,33.17245
313,34.094845
314,24.467041
315,24.109913
316,24.015938
317,24.015938
318,33.64374
319,37.956337
320,24.467041
321,36.926655
322,39.798344
323,44.318733
324,20.691
325,59.757755
326,20.691
327,47.166916
328,24.467041
329,55.241104
330,44.318733
331,24.015938
332,26.596985
333,26.859715
334,24.061365
335,24.467041
336,31.896166
337,24.015938
338,28.490606
339,24.015938
340,37.59655
341,24.467041
342,29.84751
343,58.638226
344,24.015938
345,33.17245
346,26.859715
347,31.837587
348,24.467041
349,31.433022
350,26.859715
351,30.366262
352,25.466816
353,25.466816
354,36.495907
355,41.273224
356,36.50546
357,22.659033
358,34.62333
359,37.81646
360,39.44136
361,24.015938
362,25.466816
363,24.467041
364,40.61431
365,24.467041
366,31.524433
367,25.466816
368,24.467041
369,38.83854
370,24.015938
371,33.17245
372,34.62333
373,24.015938
374,35.28653
375,40.422306
376,40.58326
377,25.466816
378,24.467041
379,40.299057
380,42.0089
381,20.691
382,33.347046
383,22.369345
384,27.177649
385,25.466816
386,33.64761
387,35.098488
388,24.467041
389,24.015938
390,34.094845
391,22.753578
392,26.12404
393,36.956566
394,22.00553
395,52.062115
396,36.14567
397,19.980246
398,22.659033
399,44.902092
400,37.956337
401,24.015938
402,36.14567
403,26.859715
404,24.015938
405,35.09462
406,24.467041
407,44.251106
408,30.539263
409,24.015938
410,38.03007
411,35.09462
412,25.466816
413,36.23721
414,23.110138
415,26.859715
416,33.266422
417,24.467041
418,20.59074
419,35.62924
420,34.154186
421,31.837587
422,24.109913
423,25.466816
424,29.85221
425,25.466816
426,24.015938
427,39.33968
428,36.206493
429,47.28383
430,43.880924
431,25.466816
432,35.23987
433,24.467041
434,24.109913
435,24.926508
436,25.466816
437,38.863026
438,41.79781
439,33.17245
440,29.900082
441,44.341587
442,36.956566
443,24.467041
444,29.900082
445,24.467041
446,35.59066
447,24.015938
448,26.859715
449,25.466816
450,41.141685
451,42.429485
452,33.044792
453,35.098488
454,32.363274
455,22.24062
456,33.64761
457,25.46513
458,22.275372
459,24.015938
460,25.466816
461,21.554422
462,25.240082
463,26.12404
464,24.015938
465,40.885204
466,24.015938
467,26.596985
468,31.896166
469,24.467041
470,24.015938
471,24.015938
472,23.166218
473,24.015938
474,31.722713
475,29.188595
476,24.061365
477,24.015938
478,24.467041
479,26.596985
480,39.088474
481,22.820942
482,30.465763
483,20.032085
484,29.900082
485,24.467041
486,36.94701
487,24.015938
488,24.110481
489,29.54352
490,33.044792
491,24.015938
492,39.87629
493,24.015938
494,33.623554
495,31.896166
496,24.015938
497,29.877844
498,25.466816
499,46.36756
500,24.015938
501,26.859715
502,24.015938
503,35.77455
504,45.76961
505,24.467041
506,29.706516
507,40.434624
508,24.015938
509,22.726479
510,26.859715
511,46.722305
512,36.346004
513,32.53771
514,24.467041
515,20.032085
516,40.872707
517,26.22936
518,34.287163
519,46.886833
520,41.592804
521,24.015938
522,25.466816
523,22.041618
524,25.466816
525,42.318634
526,47.417843
527,24.109913
528,33.178432
529,27.177649
530,36.43449
531,31.896166
532,24.467041
533,24.467041
534,24.015938
535,29.900082
536,26.596985
537,22.275372
538,26.859715
539,26.859715
540,29.222702
541,25.466816
542,24.015938
543,24.467041
544,19.12279
545,27.881922
546,25.466816
547,36.70081
548,20.297777
549,24.467041
550,34.73879
551,55.123787
552,46.92647
553,33.88628
554,57.23113
555,24.015938
556,21.554422
557,31.722713
558,24.015938
559,34.287685
560,43.190216
561,33.17245
562,46.433483
563,24.467041
564,29.900082
565,50.3954
566,24.015938
567,33.17245
568,42.02981
569,20.691
570,26.596985
571,20.032085
572,24.015938
573,31.912739
574,36.14567
575,24.467041
576,47.291477
577,33.623554
578,24.015938
579,27.096779
580,30.197477
581,27.177649
582,24.467041
583,34.094845
584,24.015938
585,24.015938
586,24.467041
587,35.583008
588,24.467041
589,29.212513
590,24.467041
591,59.219406
592,29.900082
593,26.859715
594,25.46513
595,24.467041
596,32.363274
597,22.659033
598,19.816803
599,40.24945
600,24.015938
601,44.769836
602,30.783636
603,36.43449
604,24.467041
605,23.898605
606,37.956337
607,32.363274
608,37.09371
609,20.032085
610,40.772717
611,20.032085
612,36.50546
613,40.413517
614,31.722713
615,29.900082
616,24.015938
617,39.5962
618,27.804808
619,24.467041
620,29.900082
621,33.578175
622,25.466816
623,32.937992
624,29.900082
625,29.900082
626,24.015938
627,42.063892
628,24.015938
629,31.896166
630,32.405266
631,24.467041
632,33.17245
633,24.467041
634,33.17245
635,36.99796
636,22.796566
637,40.59303
638,22.345459
639,45.025032
640,28.543177
641,42.365463
642,24.015938
643,36.59045
644,24.467041
645,36.56731
646,28.804583
647,30.461857
648,24.467041
649,28.543177
650,24.015938
651,25.466816
652,46.223812
653,24.015938
654,24.467041
655,40.438904
656,29.900082
657,25.466816
658,39.069595
659,24.015938
660,23.113077
661,25.466816
662,25.466816
663,33.623554
664,30.461857
665,29.931286
666,56.240875
667,36.528465
668,24.467041
669,22.796566
670,24.015938
671,42.644135
672,23.08367
673,24.467041
674,50.07651
675,39.096195
676,32.173817
677,24.015938
678,24.015938
679,45.753284
680,24.015938
681,22.726479
682,38.726715
683,24.467041
684,41.24598
685,25.466816
686,33.17245
687,25.466816
688,43.374252
689,33.64374
690,36.926655
691,34.30376
692,42.02981
693,26.474882
694,24.015938
695,65.71257
696,41.273224
697,24.015938
698,24.467041
699,32.363274
700,31.07333
701,27.520624
702,30.461857
703,32.28756
704,23.726252
705,27.524107
706,45.302177
707,24.015938
708,33.623554
709,24.467041
710,20.691
711,35.37808
712,32.173817
713,24.467041
714,24.467041
715,39.449734
716,24.015938
717,41.069405
718,45.76961
719,24.015938
720,46.776676
721,24.467041
722,41.24922
723,34.62333
724,25.466816
725,31.722713
726,24.467041
727,30.097017
728,24.467041
729,49.015324
730,26.596985
731,20.290483
732,20.691
733,43.78582
734,33.178432
735,44.830917
736,28.543177
737,51.976734
738,38.479153
739,26.859715
740,24.015938
741,24.467041
742,26.859715
743,28.625238
744,29.900082
745,29.900082
746,24.015938
747,33.64374
748,33.17245
749,31.91217
750,59.696983
751,29.84751
752,24.70223
753,26.478006
754,24.015938
755,49.378532
756,32.428238
757,45.960148
758,22.820942
759,33.91931
760,48.744064
761,38.683464
762,31.882986
763,36.43449
764,26.859715
765,24.015938
766,25.466816
767,20.290483
768,24.015938
769,24.467041
770,29.900082
771,30.461857
772,34.30376
773,32.10509
774,29.900082
775,29.900082
776,24.467041
777,24.467041
778,30.461857
779,43.85244
780,24.015938
781,24.467041
782,24.467041
783,32.173817
784,30.894562
785,21.041847
786,24.015938
787,31.524433
788,20.032085
789,35.057873
790,33.042904
791,36.41861
792,29.446993
793,29.900082
794,25.466816
795,24.467041
796,33.36305
797,24.015938
798,25.466816
799,55.748127
800,36.14567
801,37.59655
802,24.015938
803,31.681118
804,24.467041
805,36.94701
806,24.015938
807,22.726479
808,52.973816
809,29.900082
810,32.26665
811,31.722713
812,29.188595
813,36.59678
814,36.43449
815,68.14741
816,23.110138
817,29.900082
818,37.88537
819,43.339855
820,24.109913
821,25.466816
822,34.60529
823,24.015938
824,23.796339
825,24.467041
826,41.984673
827,26.596985
828,33.623554
829,22.796566
830,24.015938
831,37.59655
832,25.466816
833,36.14567
834,34.62333
835,24.467041
836,32.34727
837,24.015938
838,32.002113
839,27.928318
840,24.015938
841,39.70649
842,24.015938
843,24.061365
844,24.015938
845,24.467041
846,29.706516
847,53.4136
848,22.796566
849,24.015938
850,36.487514
851,22.704462
852,35.59066
853,30.816916
854,36.07619
855,25.466816
856,34.287685
857,32.88276
858,36.14567
859,37.780872
860,43.04269
861,34.287163
862,36.92834
863,23.185938
864,41.06925
865,25.466816
866,24.467041
867,33.623554
868,31.722713
869,24.015938
870,27.438564
871,25.16284
872,33.17245
873,24.467041
874,30.461857
875,43.02619
876,34.49567
877,36.956566
878,30.912964
879,50.298355
880,24.467041
881,24.015938
882,23.067646
883,36.839737
884,26.859715
885,20.290483
886,24.015938
887,33.17245
888,37.481636
889,27.177649
890,42.389603
891,25.466816
892,24.467041
893,25.466816
894,26.859715
895,24.467041
896,24.467041
897,25.723528
898,51.645718
899,26.596985
900,24.467041
901,22.00553
902,24.467041
903,41.914356
904,24.015938
905,34.942963
906,26.859715
907,44.318733
908,31.722713
909,25.466816
910,25.466816
911,29.900082
912,28.543177
913,33.623554
914,25.723528
915,33.044792
916,36.917202
917,39.307377
918,24.467041
919,38.619736
920,30.465763
921,29.783861
922,20.691
923,29.900082
924,34.62333
925,25.466816
926,30.15762
927,24.109913
928,33.044792
929,26.391483
930,26.859715
931,29.900082
932,30.913612
933,34.477215
934,31.896166
935,35.798176
936,45.04669
937,34.60529
938,24.467041
939,36.487514
940,25.466816
941,24.015938
942,36.885597
943,24.015938
944,29.712305
945,28.837345
946,24.015938
947,37.578865
948,31.524433
949,25.466816
950,29.900082
951,25.466816
952,37.956337
953,36.92834
954,24.015938
955,22.00553
956,38.379215
957,56.7479
958,24.015938
959,31.722713
960,24.015938
961,24.015938
962,24.015938
963,26.859715
964,34.62333
965,44.769836
966,37.214622
967,24.015938
968,27.177649
969,32.878338
970,32.173817
971,24.015938
972,33.17245
